"Unique Name","Title","Resource URL title","Resource URL","Creator"
"twitter-agrc","AGRC","@AGRC_AIFS","https://twitter.com/AGRC_AIFS","Australian Institute of Family Studies"
"youtube-ags-government-lawyers","AGS Government Lawyers","AGS Government Lawyers","https://www.youtube.com/channel/UCggp1mh0fZYMR_Xh7b86Uhg","Attorney-General's Department"
"twitter-ags-government-lawyers","AGSgovernmentLawyers","@AGSgovLawyers","https://twitter.com/AGSgovLawyers","Attorney-General's Department"
"youtube-ahpra","AHPRA","AHPRA","https://www.youtube.com/channel/UCtswdaCOff5CIv1ijDY9ffw","Australian Health Practitioner Regulation Agency"
"twitter-ahpra","AHPRA","@AHPRA","https://twitter.com/ahpra","Australian Health Practitioner Regulation Agency"
"facebook-aiatsis","AIATSIS","AIATSIS","https://www.facebook.com/AIATSIS","Australian Institute of Aboriginal and Torres Strait Islander Studies"
"twitter-aiatsis","AIATSIS","@AIATSIS","https://twitter.com/AIATSIS","Australian Institute of Aboriginal and Torres Strait Islander Studies"
"twitter-aic","AIC","@AICriminology","https://twitter.com/AICriminology","Australian Institute of Criminology"
"twitter-aifs","AIFS","@FamilyStudies","https://twitter.com/FamilyStudies","Australian Institute of Family Studies"
"youtube-aifstv","AIFStv","AIFStv","https://www.youtube.com/user/AIFStv/","Australian Institute of Family Studies"
"twitter-aifs-lsac","AIFS_LSAC","@AIFS_LSAC","https://twitter.com/AIFS_LSAC","Australian Institute of Family Studies"
"twitter-svr","AIFS_SVR","@AIFS_SVR","https://twitter.com/aifs_svr","Australian Institute of Family Studies"
"twitter-aihw","AIHW","@aihw","https://twitter.com/AIHW","Australian Institute of Health and Welfare"
"twitter-aims","AIMS","@aims_gov_au","https://twitter.com/aims_gov_au","Australian Institute of Marine Science"
"facebook-air-chief-marshal","Air Chief Marshal Mark Binskin","Air Chief Marshal Mark Binskin","https://www.facebook.com/Air-Chief-Marshal-Mark-Binskin-764027403617854","Department of Defence"
"facebook-air-force-balloon","Air Force Balloon","Air Force Balloon","https://www.facebook.com/RAAF.Balloon","Department of Defence"
"facebook-air-force-band","Air Force Band","Air Force Band","https://www.facebook.com/AirForceBand","Department of Defence"
"twitter-air-force-cadets","Air Force Cadets","@AirForceCadets","https://twitter.com/AirForceCadets","Department of Defence"
"facebook-air-force-roulettes","Air Force Roulettes","Air Force Roulettes","https://www.facebook.com/RAAF.Roulettes","Department of Defence"
"twitter-air-power-dev-centre","Air Power Dev Centre","@APDC_AirPower","https://twitter.com/APDC_AirPower","Department of Defence"
